RElbow_x,RElbow_y,RWrist_x,RWrist_y,LElbow_x,LElbow_y,LWrist_x,LWrist_y,time,pitch,filename,RWrist_vel_x,RWrist_vel_y,LWrist_vel_x,LWrist_vel_y,LElbow_vel_x,LElbow_vel_y,RElbow_vel_x,RElbow_vel_y,RWrist_vel,LWrist_vel,RElbow_vel,LElbow_vel,RElbow_accl,LElbow_accl,RWrist_accl_x,RWrist_accl_y,LWrist_accl_x,LWrist_accl_y,LElbow_accl_x,LElbow_accl_y,RElbow_accl_x,RElbow_accl_y,RWrist_accl,LWrist_accl
-0.946,-0.457,0.369,-1.075,1.046,0.561,-1.791,0.338,25.61,-3000.0,AK_Pakad_Bag.csv,-0.5775488150461948,-2.2896602679675535,6.910546273905139,-2.0669408408307985,0.025934157697610306,-0.711269533893325,-3.8260866608758493,-0.5052094441145187,0.30132985031825654,0.6116066835253615,0.5035846633039895,0.052914112565449825,0.1533083146069333,0.05403206868927755,5.196844533280874,-8.835830367614708,30.617373057783524,-13.352993687883083,-1.8798702561883989,-2.3693013942765893,-5.095504540408167,-3.050993388505416,0.3740503815324398,0.5814647539084427
-0.918,-0.457,0.372,-1.055,1.054,0.558,-1.91,0.358,25.619999999999997,-3000.0,AK_Pakad_Bag.csv,-0.6201404314640526,-2.2055417652106017,6.598536694711758,-1.9776383899662737,0.06412204696147397,-0.6974000793655084,-3.774680336552666,-0.5164813611682596,0.2922202652496044,0.5840637288857896,0.49712385900847833,0.05202332019559025,0.16772284576336727,0.05571169014891282,4.894365742773606,-9.377347027422427,33.17413410120016,-13.46186925276098,-2.0163102260441654,-2.373108461438341,-5.908056303809035,-2.6989964693115636,0.3860500338440068,0.6232464617548857
-0.892,-0.456,0.375,-1.033,1.057,0.551,-2.022,0.388,25.629999999999995,-3000.0,AK_Pakad_Bag.csv,-0.6606991657034864,-2.1147055747922794,6.246303372319147,-1.8854048424163998,0.10339546288688523,-0.6860689467388985,-3.715027626161178,-0.5317862836115216,0.2824315263090226,0.5531802588997512,0.4896819208964581,0.05151345721556386,0.18335754396316847,0.05693194088279121,4.583926256592527,-9.884596509131311,35.61694140645677,-13.547050710084328,-2.1271542323092487,-2.3625715538775567,-6.692623794251191,-2.3665752871080694,0.39771972260041916,0.6633881657441354
-0.865,-0.457,0.379,-1.01,1.057,0.541,-2.118,0.428,25.64,-3000.0,AK_Pakad_Bag.csv,-0.6990684798150185,-2.017399859714604,5.855639689884392,-1.789981817833449,0.1435551857867383,-0.676759727333644,-3.6472499812658064,-0.5506491249069986,0.2720113524094385,0.5191002921611961,0.481278656855427,0.051357289594466615,0.19959444770393786,0.0577030230824615,4.266241078988187,-10.3549963509188,37.928174023281834,-13.608181440587805,-2.213128209355274,-2.3391548075936304,-7.446753500774125,-2.0558605688331215,0.40886337278361085,0.7015167884738137
-0.837,-0.46,0.384,-0.987,1.059,0.536,-2.189,0.475,25.65,-3000.0,AK_Pakad_Bag.csv,-0.7350835191339236,-1.9139272351290821,5.428622274298807,-1.6911955113450297,0.18436362401720074,-0.6689102825498192,-3.571516506960842,-0.5725759806153484,0.2610177978577122,0.481996462904909,0.47194133853288595,0.051516255176000045,0.21597103603137585,0.058042664161092966,3.942077851375145,-10.786087301156583,40.09095767563989,-13.644893715493629,-2.275180838122388,-2.3043596579572885,-8.168022033520755,-1.768689591143092,0.4193035235624256,0.7372872655706793
-0.809,-0.467,0.39,-0.963,1.067,0.538,-2.231,0.525,25.659999999999997,-3000.0,AK_Pakad_Bag.csv,-0.768573855945348,-1.8046298802840461,4.967602485478956,-1.5889382926183102,0.22553801420934974,-0.6619471886736858,-3.4880348412106095,-0.597067202288965,0.2495182352834293,0.44206978901389354,0.4617032854256147,0.05194309730416172,0.23214046921946374,0.05797493108435459,3.6122575351161585,-11.175554321730758,42.08932568395364,-13.656824678796665,-2.3144809265494364,-2.25971817860125,-8.854056263941821,-1.5066023041655932,0.42888057219309095,0.770381348725356
-0.781,-0.473,0.396,-0.94,1.081,0.549,-2.246,0.572,25.669999999999995,-3000.0,AK_Pakad_Bag.csv,-0.7993629480380876,-1.68991540839355,4.475212917865453,-1.4832023371612146,0.26673736060674674,-0.6553107673511848,-3.397048449824933,-0.62362033845769,0.23759334164856324,0.39955295202726576,0.4506031648741048,0.05258401157626737,0.24783915934441744,0.05752944362740833,3.2776542771378008,-11.521247362749055,43.90837199611424,-13.643634461946858,-2.33241352632918,-2.206789070095777,-9.502554086452797,-1.270840128708959,0.43745197467738367,0.8005074899838939
-0.754,-0.476,0.402,-0.918,1.099,0.567,-2.243,0.613,25.68,-3000.0,AK_Pakad_Bag.csv,-0.8272720521126394,-1.5702339625557162,3.954368661451304,-1.3740825469161688,0.3075823876082049,-0.6484673889979978,-3.2988563318387016,-0.6517374645315994,0.225335635533631,0.3547143471385704,0.4386873344391054,0.05338091957395262,0.26286335566600705,0.056740834000981344,2.9391942921775653,-11.821201756487334,45.53439459882645,-13.605026020673295,-2.330574505414323,-2.1471560355288126,-10.11130555068295,-1.0623471381572143,0.44489151026273366,0.8274013772675078
-0.726,-0.473,0.409,-0.897,1.117,0.589,-2.236,0.643,25.689999999999998,-3000.0,AK_Pakad_Bag.csv,-0.8521337921185319,-1.4460901730013267,3.4082685995473514,-1.2617800189235668,0.34766898786058953,-0.6409462331011848,-3.1938006872750484,-0.6809297507451503,0.2128532179700821,0.30786626320252086,0.4260080728345055,0.05427569495362274,0.2770530417067895,0.05564835976962647,2.597853834775851,-12.073657803869246,46.95502760865316,-13.540765911497186,-2.3107634242695405,-2.082428287653085,-10.678214029842033,-0.8817737686416062,0.4510886541074297,0.8508268304666065
-0.698,-0.466,0.418,-0.878,1.132,0.614,-2.234,0.663,25.699999999999996,-3000.0,AK_Pakad_Bag.csv,-0.8737753768480592,-1.3180376205967628,2.8403543856330913,-1.1466193513909617,0.38657032372850364,-0.6323399978836852,-3.0822758381018684,-0.7107192728927713,0.20026999038177445,0.2593798645975284,0.41262453541745414,0.05521125860418758,0.2902810483027155,0.05429560979740222,2.2546561945707477,-12.277079393018877,48.159360590035206,-13.450705597465184,-2.27497458477455,-2.014242803885098,-11.201317160756195,-0.7294828020069023,0.4559480750833558,0.8705768623968222
