time,pitch,energy
2.7800000000000002,459.0,77.91345043346534
2.79,449.0,78.81264939636867
2.8000000000000003,442.0,79.50643971091093
2.81,443.0,79.696535978832
2.82,450.0,79.39389846304024
2.83,464.0,78.72606846116608
2.84,478.0,77.87480731649204
2.85,490.0,77.07536098841973
2.86,491.0,76.51229688752409
2.87,487.0,76.1805614178372
2.88,480.0,75.983228137285
2.89,477.0,75.85375268336044
2.9,477.0,75.76259731088214
2.91,483.0,75.80957677185917
2.92,517.0,76.17538622365073
2.93,580.0,76.85866042533843
2.94,644.0,77.79424611102587
2.95,767.0,78.92427072457409
2.96,839.0,79.79290958306972
2.97,858.0,79.73495634479215
2.98,878.0,78.31417583662818
2.99,879.0,75.37028618941412
3.0,841.0,71.58439223979423
3.0100000000000002,769.0,70.94390983851956
3.02,864.0,75.9603625159216
3.0300000000000002,1028.0,80.82876039913722
3.04,1038.0,84.23788759292054
3.0500000000000003,1018.0,86.20516870748088
3.06,981.0,86.86815452201472
3.0700000000000003,949.0,86.50620206333565
3.08,931.0,85.60549784262496
3.09,928.0,84.70573990525173
3.1,926.0,84.03265755149386
3.11,916.0,83.57313870630134
3.12,903.0,83.38588334332188
3.13,897.0,83.47062492839552
3.14,893.0,83.66653183140804
3.15,892.0,83.82816254334004
3.16,892.0,83.92456388905543
3.17,892.0,83.98828729056875
3.18,895.0,84.04076534176838
3.19,897.0,84.07260082190216
3.2,897.0,84.0689190740294
3.21,896.0,84.02865630310735
3.22,896.0,83.97340092919345
3.23,893.0,83.95482529403128
3.24,889.0,84.03082082026157
3.25,883.0,84.20668238626783
3.2600000000000002,876.0,84.36847935259128
3.27,871.0,84.24623491206148
3.2800000000000002,870.0,83.48726812053796
3.29,875.0,81.81449577305067
3.3000000000000003,887.0,79.22321522348803
3.31,900.0,76.33057292516376
3.3200000000000003,929.0,74.38047807852108
3.33,947.0,73.69402172127485
3.34,966.0,73.60511258507232
3.35,997.0,74.05175799865624
3.36,1021.0,75.05216654656537
3.37,1040.0,76.28070492056001
3.38,1037.0,77.44900867988316
3.39,1035.0,78.43282822946304
3.4,1031.0,79.19336417028164
3.41,1026.0,79.76628979893368
3.42,1018.0,80.24379566665955
3.43,1014.0,80.69217153390159
3.44,1009.0,81.08998174466386
3.45,1000.0,81.38633849840986
3.46,990.0,81.59940356228198
3.47,978.0,81.80286046261327
