Nose_x,Nose_y,Neck_x,Neck_y,RShoulder_x,RShoulder_y,RElbow_x,RElbow_y,RWrist_x,RWrist_y,LShoulder_x,LShoulder_y,LElbow_x,LElbow_y,LWrist_x,LWrist_y,MidHip_x,MidHip_y,RHip_x,RHip_y,RKnee_x,RKnee_y,RAnkle_x,RAnkle_y,LHip_x,LHip_y,LKnee_x,LKnee_y,LAnkle_x,LAnkle_y,REye_x,REye_y,LEye_x,LEye_y,REar_x,REar_y,LEar_x,LEar_y,LBigToe_x,LBigToe_y,LSmallToe_x,LSmallToe_y,LHeel_x,LHeel_y,RBigToe_x,RBigToe_y,RSmallToe_x,RSmallToe_y,RHeel_x,RHeel_y,frame_number,time
984.802,271.318,1001.267,436.007,835.290,459.606,797.005,689.139,768.128,894.324,1171.704,411.267,1307.910,613.464,1338.714,808.975,1043.529,831.176,927.779,847.533,746.290,961.204,,,1152.328,812.235,1374.718,817.516,,,947.448,244.826,1021.720,229.608,904.055,268.141,1071.869,247.711,,,,,,,,,,,,,46,1.932
985.650,271.310,1001.398,436.003,835.981,459.609,795.923,689.417,768.720,895.146,1171.540,411.105,1308.575,610.967,1338.981,803.741,1043.011,830.117,927.473,845.919,746.341,960.839,,,1152.472,810.211,1376.823,817.502,,,947.916,244.938,1021.734,229.840,904.501,268.271,1072.006,247.717,,,,,,,,,,,,,47,1.974
987.076,271.307,1001.178,436.015,836.438,459.630,796.393,689.107,769.331,894.402,1171.720,411.253,1309.228,610.236,1338.125,804.712,1042.783,828.638,927.132,843.684,745.511,960.475,,,1152.108,809.962,1374.134,817.488,,,948.670,244.719,1021.750,230.328,905.183,268.725,1071.799,247.727,,,,,,,,,,,,,48,2.016
988.052,271.313,1001.030,436.041,836.568,459.660,798.315,689.427,769.892,892.851,1171.899,411.676,1309.728,612.153,1337.342,809.355,1042.851,824.852,927.006,839.904,744.886,960.111,,,1151.056,808.067,1374.657,817.475,,,949.579,244.578,1021.889,231.399,906.079,269.426,1071.669,247.742,,,,,,,,,,,,,49,2.058
989.277,271.453,1001.178,436.077,836.422,459.682,800.957,689.813,770.460,890.450,1172.713,412.231,1310.768,616.189,1337.401,816.558,1041.155,820.494,926.550,835.937,742.901,959.746,,,1149.037,804.849,1373.495,817.461,,,949.802,244.724,1021.681,231.970,906.549,270.228,1071.806,247.740,,,,,,,,,,,,,50,2.100
990.718,271.251,1001.651,436.112,836.209,459.687,802.623,690.370,771.284,888.903,1174.295,412.792,1309.839,619.023,1338.276,822.004,1039.361,817.841,926.579,834.742,742.287,959.382,,,1146.230,803.030,1371.409,817.448,,,950.496,245.176,1021.548,232.295,906.849,270.933,1072.258,247.732,,,,,,,,,,,,,51,2.142
992.505,271.124,1002.366,436.129,836.350,459.670,803.560,690.974,771.746,888.490,1176.075,412.536,1307.319,621.348,1338.343,827.251,1036.962,814.848,927.485,834.039,742.657,959.018,,,1141.629,799.069,1361.893,817.434,,,951.108,245.859,1021.697,232.737,907.139,271.400,1072.959,247.709,,,,,,,,,,,,,52,2.184
993.824,271.270,1003.161,436.135,836.366,459.646,803.301,691.521,771.877,887.274,1177.607,412.614,1304.042,623.262,1337.488,834.250,1036.214,811.638,927.946,831.879,743.220,958.653,,,1138.826,794.608,1357.040,817.421,,,951.717,246.629,1022.163,233.475,907.489,271.550,1073.762,247.698,,,,,,,,,,,,,53,2.226
994.615,271.732,1003.851,436.129,836.383,459.623,802.697,691.891,771.721,886.697,1178.536,412.411,1298.796,621.871,1335.484,841.019,1037.427,811.952,928.436,831.758,743.702,960.110,,,1140.223,794.394,1354.044,817.407,,,952.284,247.314,1022.868,234.511,908.002,271.396,1074.480,247.702,,,,,,,,,,,,,54,2.268
994.957,272.427,1004.291,436.120,836.394,459.603,802.431,692.060,771.491,886.909,1178.745,412.993,1294.226,621.016,1333.308,846.289,1039.312,813.369,928.562,831.710,743.405,962.259,,,1142.085,795.921,1352.566,817.394,,,952.867,247.759,1023.659,235.812,908.937,271.155,1074.957,247.722,,,,,,,,,,,,,55,2.310
